ano_mês,uf,produto,unid,venda,criado_em
2017-11,AC,Etanol Hidratado,m3,619.0,2022-09-10
2017-12,AC,Etanol Hidratado,m3,728.0,2022-09-10
2018-01,AC,Etanol Hidratado,m3,618.0,2022-09-10
2018-02,AC,Etanol Hidratado,m3,574.0,2022-09-10
2018-03,AC,Etanol Hidratado,m3,651.0,2022-09-10
2018-04,AC,Etanol Hidratado,m3,501.0,2022-09-10
2018-05,AC,Etanol Hidratado,m3,544.0,2022-09-10
2018-06,AC,Etanol Hidratado,m3,748.0,2022-09-10
2018-07,AC,Etanol Hidratado,m3,690.0,2022-09-10
2018-08,AC,Etanol Hidratado,m3,803.0,2022-09-10
2018-09,AC,Etanol Hidratado,m3,912.0,2022-09-10
2018-10,AC,Etanol Hidratado,m3,1.09,2022-09-10
2018-11,AC,Etanol Hidratado,m3,787.0,2022-09-10
2018-12,AC,Etanol Hidratado,m3,615.0,2022-09-10
2019-01,AC,Etanol Hidratado,m3,545.0,2022-09-10
2019-02,AC,Etanol Hidratado,m3,470.0,2022-09-10
2019-03,AC,Etanol Hidratado,m3,558.0,2022-09-10
2019-04,AC,Etanol Hidratado,m3,592.0,2022-09-10
2019-05,AC,Etanol Hidratado,m3,730.0,2022-09-10
2019-06,AC,Etanol Hidratado,m3,728.0,2022-09-10
2019-07,AC,Etanol Hidratado,m3,742.0,2022-09-10
2019-08,AC,Etanol Hidratado,m3,638.0,2022-09-10
2019-09,AC,Etanol Hidratado,m3,658.0,2022-09-10
2019-10,AC,Etanol Hidratado,m3,770.0,2022-09-10
2019-11,AC,Etanol Hidratado,m3,676.0,2022-09-10
2019-12,AC,Etanol Hidratado,m3,798.0,2022-09-10
2020-01,AC,Etanol Hidratado,m3,663.0,2022-09-10
2020-02,AC,Etanol Hidratado,m3,604.0,2022-09-10
2020-03,AC,Etanol Hidratado,m3,525.0,2022-09-10
2020-04,AC,Etanol Hidratado,m3,285.0,2022-09-10
2020-05,AC,Etanol Hidratado,m3,210.0,2022-09-10
2020-06,AC,Etanol Hidratado,m3,362.0,2022-09-10
2020-07,AC,Etanol Hidratado,m3,485.0,2022-09-10
