ano_mês,uf,produto,unid,volume,criado_em,ano
2013-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2014-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2015-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2016-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2017-04,AC,Gasolina de Aviação,m3,,2022-09-10,
